OBJECTID,UHFCODE,SHAPE_Leng,SHAPE_Area,UHF_NEIGH,BOROUGH,PNTCNT,
1,0,207587.59562700000,276409922.27800000000,,N/A,867,
2,101,57699.15435320000,133291428.94300000000,Kingsbridge - Riverdale,Bronx,1685,
3,102,88219.31910949990,181370838.13800000000,Northeast Bronx,Bronx,6758,
4,103,59711.87199110000,140772424.68300000000,Fordham - Bronx Park,Bronx,13304,
5,104,250903.37227299900,386573664.36799900000,Pelham - Throgs Neck,Bronx,13378,
6,105,66676.08907190000,106897846.11000000000,Crotona - Tremont,Bronx,11393,
7,106,50241.64932409990,85899564.56530000000,High Bridge - Morrisania,Bronx,16448,
8,107,62182.67477250000,112809301.75500000000,Hunts Point - Mott Haven,Bronx,18226,
9,201,48036.34814550000,104783568.36200000000,Greenpoint,Brooklyn,7866,
10,202,111232.01556699900,175800054.94999900000,Downtown  - Heights - Slope,Brooklyn,17390,
11,203,69711.01432500000,166226273.60800000000,Bedford Stuyvesant - Crown Heights,Brooklyn,48853,
12,204,75378.41833310000,155140452.12300000000,East New York,Brooklyn,29704,
13,205,100114.86669100000,111863509.54799900000,Sunset Park,Brooklyn,4401,
14,206,63216.73814100000,171876286.49500000000,Borough Park,Brooklyn,6912,
15,207,73949.35057290000,193737310.90099900000,East Flatbush - Flatbush,Brooklyn,17363,
16,208,142322.64519899900,359879550.09100000000,Canarsie - Flatlands,Brooklyn,9036,
17,209,73089.45727480000,160398685.56500000000,Bensonhurst - Bay Ridge,Brooklyn,5089,
18,210,101869.34986000000,228830944.53400000000,Coney Island - Sheepshead Bay,Brooklyn,12894,
19,211,49012.82281040000,106661188.86800000000,Williamsburg - Bushwick,Brooklyn,25115,
20,301,67477.64818740000,98903331.36439990000,Washington Heights - Inwood,Manhattan,15161,
21,302,50891.46207920000,61396212.45420000000,Central Harlem - Morningside Heights,Manhattan,23260,
22,303,53979.19278580000,60897268.57930000000,East Harlem,Manhattan,22122,
23,304,46554.86506180000,58271811.76070000000,Upper West Side,Manhattan,6803,
24,305,49821.03669590000,54389991.76500000000,Upper East Side,Manhattan,4963,
25,306,87605.44260860000,79433506.39759990000,Chelsea - Clinton,Manhattan,18016,
26,307,38475.19715250000,48288819.17409990000,Gramercy Park -  Murray Hill,Manhattan,5809,
27,308,50948.82572840000,40239113.00069990000,Greenwich Village - Soho,Manhattan,5209,
28,309,34713.20933980000,57320385.44240000000,Union Square - Lower East Side,Manhattan,10298,
29,310,50752.73512340000,35132269.33510000000,Lower Manhattan,Manhattan,2242,
30,401,72324.76281530000,192302041.44700000000,Long Island City - Astoria,Queens,13246,
31,402,116570.27741300000,324654856.59500000000,West Queens,Queens,24537,
32,403,125334.92424300000,362299498.67100000000,Flushing - Clearview,Queens,8205,
33,404,70215.83308460000,214568819.41299900000,Bayside - Little Neck,Queens,3011,
34,405,87164.99102060000,265270297.68799900000,Ridgewood - Forest Hills,Queens,9002,
35,406,61672.82532160000,153432076.31900000000,Fresh Meadows,Queens,3085,
36,407,123610.72991400000,272526503.49000000000,Southwest Queens,Queens,13638,
37,408,123620.44833000000,364549867.52800000000,Jamaica,Queens,22638,
38,409,129288.28029700000,361601679.26899900000,Southeast Queens,Queens,6030,
39,410,232823.13581700000,265728844.07200000000,Rockaway,Queens,9888,
40,501,86322.59020460000,164519524.44600000000,Port  Richmond,Staten Island,7934,
41,502,107053.88665000000,327243680.03799900000,Stapleton - St. George,Staten Island,11196,
42,503,117827.80509200000,413108024.38800000000,Willowbrook,Staten Island,4276,
43,504,175067.70894000000,731130742.26600000000,South Beach - Tottenville,Staten Island,7631,
